ts_code,ann_date,nav_date,unit_nav,accum_nav,accum_div,net_asset,total_netasset,adj_nav,update_flag
013826.OF,20230423,20230331,0.9636,0.9636,,172414502.06,174921455.61,0.9636,1
013826.OF,20230128,20221231,0.9491,0.9491,,201428157.06,202623620.1,0.9491,1
012759.OF,20230421,20230331,0.9267,0.9267,,14734226.88,20889894.52,0.9267,1
012759.OF,20230120,20221231,0.7817,0.7817,,39882271.74,42166958.05,0.7817,1
014062.OF,20230421,20230331,0.7946,0.7946,,820404554.78,1380565893.58,0.7946,1
014062.OF,20230120,20221231,0.7215,0.7215,,765888525.66,1154082776.2,0.7215,1
013793.OF,20230421,20230331,0.8076,0.8076,,424476782.13,445193900.62,0.8076,1
013793.OF,20230120,20221231,0.7772,0.7772,,429531306.74,451272635.42,0.7772,1
013477.OF,20230423,20230331,1.0495,1.0495,,38900460.62,107679571.82,1.0495,1
013477.OF,20230119,20221231,0.8241,0.8241,,30831419.62,100477374.97,0.8241,1
013665.OF,20230421,20230331,0.8275,0.8275,,205921781.9,262108954.58,0.8275,1
013665.OF,20230119,20221231,0.8328,0.8328,,211452972.01,270857614.66,0.8328,1
013293.OF,20230421,20230331,0.7931,0.7931,,543011242.45,543011242.45,0.7931,1
013293.OF,20230120,20221231,0.7384,0.7384,,520569706.06,520569706.06,0.7384,1
013238.OF,20230422,20230331,0.8075,0.8075,,161596546.06,164087709.72,0.8075,1
013238.OF,20230121,20221231,0.8073,0.8073,,167470738.85,170699426.38,0.8073,1
013248.OF,20230421,20230331,0.9884,0.9884,,178889989.56,192478708.59,0.9884,1
013248.OF,20230119,20221231,0.977,0.977,,192351706.38,210742718.45,0.977,1
506007.OF,20230421,20230331,0.9247,0.9247,,576099307.31,576099307.31,0.9247,1
506007.OF,20230120,20221231,0.853,0.853,,531426713.34,531426713.34,0.853,1
013190.OF,20230421,20230331,0.9921,0.9921,,300136460.65,301446904.26,0.9921,1
013190.OF,20230120,20221231,0.9855,0.9855,,375589366.94,376917912.62,0.9855,1
012159.OF,20230421,20230331,1.2039,1.2039,,595113957.77,1821020783.64,1.2039,1
012159.OF,20230120,20221231,1.0427,1.0427,,389020670.29,874801349.83,1.0427,1
011903.OF,20230422,20230331,0.7643,0.7643,,174099908.91,258884971.01,0.7643,1
011903.OF,20230120,20221231,0.775,0.775,,134354107.42,184954525.73,0.775,1
014283.OF,20230421,20230331,0.6906,0.6906,,341734732.69,341734732.69,0.6906,1
014283.OF,20230120,20221231,0.6615,0.6615,,327338852.19,327338852.19,0.6615,1
014275.OF,20230421,20230331,0.8944,0.8944,,351821264.81,442713068.92,0.8944,1
014275.OF,20230120,20221231,0.8827,0.8827,,347213425.6,437025455.57,0.8827,1
