ts_code,trade_date,close,open,high,low,vol,amount
000015.SH,20220701,2886.24,2803.07,2892.39,2802.03,12732900000.0,105700742971.0
000015.SH,20220624,2801.34,2813.11,2825.6,2757.86,12121286900.0,93734950933.0
000015.SH,20220617,2827.09,2881.95,2932.1,2802.25,14925634200.0,110304068047.0
000015.SH,20220610,2902.27,2829.64,2910.28,2806.16,14676697000.0,110336982875.0
000015.SH,20220602,2828.97,2860.53,2863.07,2815.1,8764968900.0,66525377382.0
000015.SH,20220527,2860.16,2844.26,2870.71,2778.35,10953101800.0,85847233737.0
000015.SH,20220520,2840.1,2821.46,2845.29,2759.32,11388543400.0,87980162176.0
000015.SH,20220513,2795.76,2741.6,2796.18,2685.46,11862081600.0,87152471277.0
000015.SH,20220506,2757.43,2845.5,2860.74,2750.85,5719625000.0,40457809269.0
000015.SH,20220429,2852.28,2856.64,2857.59,2701.9,17049498500.0,121056868790.0
000015.SH,20220422,2896.11,2992.62,3018.34,2830.93,13396823900.0,104014881920.0
000015.SH,20220415,3027.93,3034.85,3096.62,2964.36,14950225400.0,120036567333.0
000015.SH,20220408,3042.41,3029.53,3077.09,2979.94,10123105700.0,75408037568.0
000015.SH,20220401,3025.78,2890.31,3031.05,2869.95,15210868200.0,114855120323.0
000015.SH,20220325,2898.38,2825.19,2929.21,2813.61,11635964800.0,92754983496.0
000015.SH,20220318,2825.16,2846.45,2895.24,2606.29,16583719100.0,116608706198.0
000015.SH,20220311,2865.48,2970.07,2977.05,2730.79,14295902400.0,104531842882.0
000015.SH,20220304,2957.92,2856.14,2979.01,2830.25,11305590700.0,85785983910.0
000015.SH,20220225,2856.33,2917.59,2936.95,2837.53,11936066000.0,90384778071.0
000015.SH,20220218,2915.95,2905.99,2916.49,2836.49,10986426800.0,82922669082.0
000015.SH,20220211,2910.34,2749.13,2938.73,2749.13,15549302400.0,111791028458.0
000015.SH,20220128,2721.72,2834.53,2844.51,2702.47,10652406600.0,75761563363.0
000015.SH,20220121,2842.1,2830.72,2887.96,2819.83,12241827100.0,94021333849.0
000015.SH,20220114,2826.07,2841.62,2900.61,2824.74,13691226100.0,100198900181.0
000015.SH,20220107,2842.12,2811.45,2867.97,2806.0,11520567900.0,84422079091.0
000015.SH,20211231,2792.7,2781.31,2801.15,2755.45,8662933200.0,68407812009.0
000015.SH,20211224,2776.98,2762.96,2793.0,2737.78,9824930900.0,76336877717.0
000015.SH,20211217,2766.71,2771.89,2793.9,2725.17,11391341200.0,90327090210.0
000015.SH,20211210,2766.66,2768.13,2796.3,2744.1,15615984100.0,130003490389.0
000015.SH,20211203,2769.04,2687.44,2779.88,2676.32,10907969700.0,86651674943.0
000015.SH,20211126,2724.09,2733.13,2781.18,2720.96,10267767300.0,83451236916.0
