index_code,名称,trade_year,trade_week,trade_date,total_mv,total_earnings,total_earnings_ttm,total_book_value,pe,pb,pe_ttm,ts_code,close,open,high,low,vol,amount
000015.SH,红利指数,2022,18,20220506,900883021.02,167981769.90322587,171950809.87354124,1443132433.6544542,5.3629808850031635,0.6242552658446513,5.239190334041122,000015.SH,2757.43,2845.5,2860.74,2750.85,5719625000.0,40457809269.0
000015.SH,红利指数,2022,19,20220513,904171396.85,167981100.27702093,171952100.24853697,1442963502.6957402,5.382578131461892,0.6266072531708734,5.258274807595396,000015.SH,2795.76,2741.6,2796.18,2685.46,11862081600.0,87152471277.0
000015.SH,红利指数,2022,20,20220520,906738373.68,167981382.21568674,171951519.20432797,1443066010.0009584,5.3978504148498745,0.6283415778599052,5.27322106763438,000015.SH,2840.1,2821.46,2845.29,2759.32,11388543400.0,87980162176.0
000015.SH,红利指数,2022,21,20220527,917882793.82,167981330.26872686,171951925.3085356,1442788137.6873384,5.464195290938726,0.636186817623331,5.338019869059511,000015.SH,2860.16,2844.26,2870.71,2778.35,10953101800.0,85847233737.0
000015.SH,红利指数,2022,22,20220602,906871808.63,167982338.27373978,171951511.05053627,1442556060.0527418,5.398614032578738,0.6286561983572712,5.273997321044023,000015.SH,2828.97,2860.53,2863.07,2815.1,8764968900.0,66525377382.0
000015.SH,红利指数,2022,23,20220610,920625552.34,167981609.07701096,171951860.82081002,1438139900.6626053,5.480513952678834,0.6401502050779851,5.353972605736313,000015.SH,2902.27,2829.64,2910.28,2806.16,14676697000.0,110336982875.0
000015.SH,红利指数,2022,24,20220617,912102239.97,167982274.94038773,171950582.11462864,1437246247.2384646,5.429752872996153,0.6346179311461205,5.3044440370778085,000015.SH,2827.09,2881.95,2932.1,2802.25,14925634200.0,110304068047.0
000015.SH,红利指数,2022,25,20220624,905420102.77,167981851.23190078,171950896.5570501,1436002805.5962536,5.389987645272807,0.6305141600291329,5.265573607925902,000015.SH,2801.34,2813.11,2825.6,2757.86,12121286900.0,93734950933.0
000015.SH,红利指数,2022,26,20220701,919458861.25,167981489.63900095,171951662.59504917,1434371438.1059844,5.473572494362054,0.6410186628256481,5.347193783263094,000015.SH,2886.24,2803.07,2892.39,2802.03,12732900000.0,105700742971.0
000015.SH,红利指数,2022,27,20220708,905077662.47,167981194.73077294,172029821.81228015,1422227402.6259153,5.38797014701906,0.6363804134267973,5.2611672379549725,000015.SH,2825.78,2885.66,2921.03,2817.26,11183838700.0,92057997424.0
000015.SH,红利指数,2022,28,20220715,845121835.4,167980889.52267265,172151075.1711244,1388006872.9020789,5.031059412778812,0.6088743880878619,4.909187087910536,000015.SH,2691.36,2809.03,2821.62,2691.36,14323846700.0,96899309496.0
000015.SH,红利指数,2022,29,20220722,855219150.8199999,167981826.4987972,172151418.32616186,1387724578.3799639,5.091140920688367,0.6162744136292424,4.967830989342667,000015.SH,2698.04,2703.14,2777.58,2683.84,9647575100.0,77379933356.0
